crime_month,district,crime_type,crimes
2002-01-01,1,drug,104
2002-01-01,1,other,97
2002-01-01,1,other,174
2002-01-01,1,property,658
2002-01-01,1,property,201
2002-01-01,1,violent,182
2002-01-01,1,violent,60
2002-01-01,2,drug,161
2002-01-01,2,other,112
2002-01-01,2,other,158
2002-01-01,2,property,516
2002-01-01,2,property,126
2002-01-01,2,violent,425
2002-01-01,2,violent,112
2002-01-01,3,drug,219
2002-01-01,3,other,175
2002-01-01,3,other,130
2002-01-01,3,property,625
2002-01-01,3,property,86
2002-01-01,3,violent,533
2002-01-01,3,violent,140
2002-01-01,4,drug,150
2002-01-01,4,other,222
2002-01-01,4,other,105
2002-01-01,4,property,798
2002-01-01,4,property,95
2002-01-01,4,violent,540
2002-01-01,4,violent,134
2002-01-01,5,drug,197
2002-01-01,5,other,139
2002-01-01,5,other,133
2002-01-01,5,property,522
2002-01-01,5,property,68
2002-01-01,5,violent,474
2002-01-01,5,violent,131
2002-01-01,6,drug,132
2002-01-01,6,other,205
2002-01-01,6,other,78
2002-01-01,6,property,787
2002-01-01,6,property,163
2002-01-01,6,violent,494
2002-01-01,6,violent,130
2002-01-01,7,drug,337
2002-01-01,7,other,142
2002-01-01,7,other,131
2002-01-01,7,property,674
2002-01-01,7,property,93
2002-01-01,7,violent,702
2002-01-01,7,violent,168
2002-01-01,8,drug,1
2002-01-01,8,drug,144
2002-01-01,8,other,210
2002-01-01,8,other,93
2002-01-01,8,property,1147
2002-01-01,8,property,176
2002-01-01,8,violent,497
2002-01-01,8,violent,119
2002-01-01,9,drug,256
2002-01-01,9,other,148
2002-01-01,9,other,122
2002-01-01,9,property,769
2002-01-01,9,property,98
2002-01-01,9,violent,393
2002-01-01,9,violent,114
2002-01-01,10,drug,1
2002-01-01,10,drug,214
2002-01-01,10,other,109
2002-01-01,10,other,109
2002-01-01,10,property,535
2002-01-01,10,property,76
2002-01-01,10,violent,396
2002-01-01,10,violent,92
2002-01-01,11,drug,713
2002-01-01,11,other,121
2002-01-01,11,other,261
2002-01-01,11,property,488
2002-01-01,11,property,73
2002-01-01,11,violent,556
2002-01-01,11,violent,123
2002-01-01,12,drug,116
2002-01-01,12,other,89
2002-01-01,12,other,175
2002-01-01,12,property,618
2002-01-01,12,property,106
2002-01-01,12,violent,303
2002-01-01,12,violent,99
2002-01-01,13,drug,40
2002-01-01,13,other,33
2002-01-01,13,other,50
2002-01-01,13,property,182
2002-01-01,13,property,39
2002-01-01,13,violent,92
2002-01-01,13,violent,42
2002-01-01,14,drug,122
2002-01-01,14,other,109
2002-01-01,14,other,146
2002-01-01,14,property,789
2002-01-01,14,property,100
2002-01-01,14,violent,332
2002-01-01,14,violent,84
2002-01-01,15,drug,432
2002-01-01,15,other,105
2002-01-01,15,other,185
2002-01-01,15,property,389
2002-01-01,15,property,45
2002-01-01,15,violent,443
2002-01-01,15,violent,93
2002-01-01,16,drug,51
2002-01-01,16,other,155
2002-01-01,16,other,93
2002-01-01,16,property,626
2002-01-01,16,property,75
2002-01-01,16,violent,179
2002-01-01,16,violent,74
2002-01-01,17,drug,70
2002-01-01,17,other,108
2002-01-01,17,other,91
2002-01-01,17,property,525
2002-01-01,17,property,73
2002-01-01,17,violent,176
2002-01-01,17,violent,51
2002-01-01,18,drug,155
2002-01-01,18,other,117
2002-01-01,18,other,205
2002-01-01,18,property,829
2002-01-01,18,property,166
2002-01-01,18,violent,221
2002-01-01,18,violent,86
2002-01-01,19,drug,97
2002-01-01,19,other,116
2002-01-01,19,other,137
2002-01-01,19,property,654
